[generator] Loaded 690 enriched chunks
[generator] Chapter filter ['A', 'B', 'C'] → 48 chunks
[generator] Backend: ollama  Machine: mac  Seed: 42  Workers: 1
[generator] Scheduled 390 tasks → target 300 pairs  (+30 % buffer for filter rate)

[generator] 0 already done, 390 pending

  [1/390] C-34 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [2/390] C-21 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [3/390] C-23 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [4/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [5/390] C-8 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [6/390] C-5 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [7/390] A-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [8/390] C-26 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [9/390] B-3 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [10/390] C-22 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [11/390] C-23 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [12/390] B-2 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [13/390] C-18 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [14/390] C-29 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [15/390] C-17 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [16/390] C-36 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [17/390] C-16 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [18/390] C-12 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [19/390] C-24 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [20/390] C-7 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [21/390] C-19 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [22/390] C-28 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [23/390] C-14 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [24/390] C-8 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [25/390] C-32 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [26/390] C-25 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [27/390] C-37 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [28/390] B-1 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [29/390] C-10 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [30/390] C-30 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [31/390] C-31 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [32/390] C-15 cross_step ... FILTERED (answer too short (39 words))
  [33/390] C-14 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [34/390] C-13 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [35/390] C-39 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [36/390] C-17 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [37/390] C-33 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [38/390] B-2 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [39/390] C-10 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [40/390] C-3 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [41/390] C-11 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [42/390] C-12 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [43/390] C-1 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [44/390] C-30 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [45/390] C-27 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [46/390] C-20 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [47/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [48/390] C-9 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [49/390] C-31 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [50/390] C-15 procedural ... FILTERED (answer too short (44 words))
  [51/390] B-1 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [52/390] B-4 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [53/390] C-11 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [54/390] C-25 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [55/390] C-3 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [56/390] C-21 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [57/390] C-4 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [58/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [59/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [60/390] C-2 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [61/390] C-16 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [62/390] C-22 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [63/390] C-36 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [64/390] C-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [65/390] C-28 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [66/390] C-13 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [67/390] C-33 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [68/390] C-2 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [69/390] A-1 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [70/390] C-38 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [71/390] C-20 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [72/390] C-37 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [73/390] C-18 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [74/390] C-35 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [75/390] C-4 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [76/390] C-27 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [77/390] C-39 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [78/390] C-24 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [79/390] C-6 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [80/390] C-5 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [81/390] C-34 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [82/390] C-38 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [83/390] B-1 applied_reasoning ... FAILED (no JSON)
  [84/390] C-19 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [85/390] C-29 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [86/390] B-2 comparative ... FILTERED (answer too short (47 words))
  [87/390] C-26 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [88/390] C-35 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [89/390] B-2 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [90/390] B-4 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [91/390] C-6 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [92/390] C-7 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [93/390] C-9 comparative ... FILTERED (missing [Reference: ATP 2-01.3, ...] at end of answer)
  [94/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [95/390] B-3 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [96/390] C-32 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [97/390] C-34 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [98/390] C-21 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [99/390] C-23 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [100/390] B-1 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [101/390] C-8 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [102/390] C-5 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [103/390] A-1 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [104/390] C-26 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
